user_id,simple_status,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,result,lsat,softs,urm,non_trad,gpa,years_out,is_military,is_character_and_fitness_issues,school_name,cycle,decision,color,marker,splits
45843,Waitlisted,2019-01-31,2019-02-04,2019-02-12,,,,2019-04-12,Waitlisted,172.0,,False,True,3.53,5.0,,,University of Chicago,19,WL,orange,triangle-se,orange
45843,Rejected,2018-12-14,2018-12-15,2018-12-18,,,,2019-02-22,Rejected,172.0,,False,True,3.53,5.0,,,University of California—Berkeley,19,R,red,triangle-se,blue
45843,"WL, Rejected",2019-01-31,2019-01-31,2019-03-06,,,,2019-03-29,"WL, Rejected",172.0,,False,True,3.53,5.0,,,Columbia University,19,WL,orange,triangle-se,orange
45848,Accepted,2018-10-24,2018-10-24,2018-11-15,,,,2019-01-17,Accepted,175.0,,False,False,4.2,,,,Columbia University,19,A,green,triangle-se,green
45849,Accepted,2018-12-12,2018-12-12,2018-12-20,,,,2019-01-15,Accepted,172.0,,False,False,3.8,1.0,,,University of Michigan,19,A,green,triangle-se,green
45852,Rejected,2018-10-30,,,,,,2019-01-14,Rejected,166.0,,False,False,3.79,0.0,,,University of Michigan,19,R,red,triangle-se,red
45853,Waitlisted,2018-09-09,2018-09-10,2018-10-01,,,,2019-02-20,Waitlisted,168.0,,False,False,3.1,1.0,,,Northwestern University,19,WL,orange,triangle-se,orange
45857,Waitlisted,2019-01-18,,2019-01-22,,,,2019-04-04,Waitlisted,158.0,,False,True,3.26,3.0,,,University of California—Berkeley,19,WL,orange,triangle-se,orange
45857,Rejected,2018-11-28,2018-11-29,2018-11-29,,,,2019-02-07,Rejected,158.0,,False,True,3.26,3.0,,,New York University,19,R,red,triangle-se,red
45861,Waitlisted,2018-12-19,2018-12-19,2018-12-19,,,,2019-02-20,Waitlisted,169.0,,False,False,3.65,1.0,,,Northwestern University,19,WL,orange,triangle-se,orange
45861,Accepted,2019-01-01,2019-01-02,2019-01-09,,,,2019-02-15,Accepted,169.0,,False,False,3.65,1.0,,,University of Michigan,19,A,green,triangle-se,green
45862,Rejected,2018-12-12,,2018-12-21,,,,2019-01-15,Rejected,166.0,,True,False,3.4,3.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45862,Waitlisted,2018-12-12,,,,,,2019-03-08,Waitlisted,166.0,,True,False,3.4,3.0,,,University of Chicago,19,WL,orange,triangle-se,orange
45862,Waitlisted,2018-12-12,,,,,,2019-03-07,Waitlisted,166.0,,True,False,3.4,3.0,,,University of Virginia,19,WL,orange,triangle-se,orange
45862,Rejected,2018-12-12,,,,,,2019-03-07,Rejected,166.0,,True,False,3.4,3.0,,,University of Pennsylvania,19,R,red,triangle-se,red
45863,"WL, Accepted",2018-11-03,,,,,,2019-05-07,"WL, Accepted",173.0,,False,False,3.99,0.0,,,Harvard University,19,WL,orange,triangle-se,orange
45863,Waitlisted,2018-11-03,,2018-11-14,,,,2019-04-13,Waitlisted,173.0,,False,False,3.99,0.0,,,Stanford University,19,WL,orange,triangle-se,orange
